dataset,method,bin,token_min,token_max,token_mid,n,accuracy_pct,error_pct
ALL,Base,1,2524,9665,6094.5,215,89.30232558139535,10.697674418604652
ALL,Base,2,9669,14669,12169.0,137,52.55474452554745,47.44525547445255
ALL,Base,3,14676,19069,16872.5,124,29.838709677419356,70.16129032258065
ALL,Base,4,19072,23021,21046.5,121,6.6115702479338845,93.38842975206612
ALL,Base,5,23024,46588,34806.0,123,4.878048780487805,95.1219512195122
ALL,Pure OPSD,1,2524,9665,6094.5,108,98.14814814814815,1.851851851851849
ALL,Pure OPSD,2,9669,14669,12169.0,142,85.91549295774648,14.084507042253524
ALL,Pure OPSD,3,14676,19069,16872.5,119,55.46218487394958,44.53781512605042
ALL,Pure OPSD,4,19072,23021,21046.5,117,22.22222222222222,77.77777777777779
ALL,Pure OPSD,5,23024,46588,34806.0,234,10.256410256410257,89.74358974358975
ALL,Masked OPSD,1,2524,9665,6094.5,206,94.66019417475728,5.339805825242716
ALL,Masked OPSD,2,9669,14669,12169.0,211,64.92890995260663,35.07109004739336
ALL,Masked OPSD,3,14676,19069,16872.5,249,24.899598393574298,75.1004016064257
ALL,Masked OPSD,4,19072,23021,21046.5,235,12.76595744680851,87.2340425531915
ALL,Masked OPSD,5,23024,46588,34806.0,179,5.58659217877095,94.41340782122904
ALL,MRO-SI,1,2524,9665,6094.5,191,94.76439790575917,5.235602094240843
ALL,MRO-SI,2,9669,14669,12169.0,230,68.69565217391305,31.304347826086953
ALL,MRO-SI,3,14676,19069,16872.5,228,28.50877192982456,71.49122807017544
ALL,MRO-SI,4,19072,23021,21046.5,247,12.550607287449393,87.4493927125506
ALL,MRO-SI,5,23024,46588,34806.0,184,9.23913043478261,90.76086956521739
